"country_id","area","area_code","numbertype","mnc","mnci","network"
"251","Mobile - A-Mobile",NULL,"1","88","2191","A-Mobile"
"251","Mobile - A-Mobile",NULL,"1","68","1679","A-Mobile"
"251","Mobile - Aquafon",NULL,"1","67","1663","Aquafon"
"2","Mobile - Afghan Telecom Corp. (AT)","75","1","88","2191","Afghan Telecom Corp. (AT)"
"2","Mobile - Afghan Telecom Corp. (AT)","75","1","80","2063","Afghan Telecom Corp. (AT)"
"2","Mobile - Afghan Wireless/AWCC","70","1","1","31","Afghan Wireless/AWCC"
"2","Mobile - Areeba/MTN","76","1","40","1039","Areeba/MTN"
"2","Mobile - Etisalat","78","1","30","783","Etisalat"
"2","Mobile - Etisalat","78","1","50","1295","Etisalat"
"2","Mobile - Roshan/TDCA","79","1","20","527","Roshan/TDCA"
"2","Mobile - WaselTelecom (WT)",NULL,"1","3","63","WaselTelecom (WT)"
"6","Mobile - AMC/Cosmote","68","1","1","31","AMC/Cosmote"
"6","Mobile - Eagle Mobile","67","1","3","63","Eagle Mobile"
"6","Mobile - PLUS Communication Sh.a","66","1","4","79","PLUS Communication Sh.a"
"6","Mobile - Vodafone","69","1","2","47","Vodafone"
"66","Mobile - ATM Mobils",NULL,"1","1","31","ATM Mobils"
"66","Mobile - Orascom / DJEZZY",NULL,"1","2","47","Orascom / DJEZZY"
"66","Mobile - Oreedo/Wataniya / Nedjma",NULL,"1","3","63","Oreedo/Wataniya / Nedjma"
"11","Mobile - Blue Sky Communications","684","1","11","287","Blue Sky Communications"
"7","Mobile - Mobiland","367","1","3","63","Mobiland"
"3","Mobile - MoviCel","91","1","4","79","MoviCel"
"3","Mobile - Unitel","92","1","2","47","Unitel"
"4","Mobile - Cable and Wireless","264772","1","840","2112","Cable and Wireless"
"4","Mobile - Digicell / Wireless Vent. Ltd",NULL,"1","10","16","Digicell / Wireless Vent. Ltd"
"14","Mobile - APUA PCS","2687","1","30","48","APUA PCS"
"14","Mobile - C & W",NULL,"1","920","2336","C & W"
"14","Mobile - DigiCel/Cing. Wireless",NULL,"1","930","2352","DigiCel/Cing. Wireless"
"9","Mobile - Claro/ CTI/AMX",NULL,"1","310","784","Claro/ CTI/AMX"
"9","Mobile - Claro/ CTI/AMX",NULL,"1","330","816","Claro/ CTI/AMX"
"9","Mobile - Claro/ CTI/AMX",NULL,"1","320","800","Claro/ CTI/AMX"
"9","Mobile - Compania De Radiocomunicaciones Moviles SA",NULL,"1","10","16","Compania De Radiocomunicaciones Moviles SA"
"9","Mobile - Movistar/Telefonica",NULL,"1","70","112","Movistar/Telefonica"
"9","Mobile - Nextel",NULL,"1","20","32","Nextel"
"9","Mobile - Telecom Personal S.A.",NULL,"1","341","833","Telecom Personal S.A."
"9","Mobile - Telecom Personal S.A.",NULL,"1","340","832","Telecom Personal S.A."
"10","Mobile - ArmenTel/Beeline","43","1","1","31","ArmenTel/Beeline"
"10","Mobile - Karabakh Telecom","97","1","4","79","Karabakh Telecom"
"10","Mobile - Orange","55","1","10","271","Orange"
"10","Mobile - Vivacell","77","1","5","95","Vivacell"
"1","Mobile - Digicel","59","1","2","47","Digicel"
"1","Mobile - Digicel","6","1","20","527","Digicel"
"1","Mobile - Setar GSM","56","1","1","31","Setar GSM"
"15","Mobile - AAPT Ltd.",NULL,"1","14","335","AAPT Ltd."
"15","Mobile - Advanced Comm Tech Pty.",NULL,"1","24","591","Advanced Comm Tech Pty."
"15","Mobile - Airnet Commercial Australia Ltd..",NULL,"1","9","159","Airnet Commercial Australia Ltd.."
"15","Mobile - Department of Defense",NULL,"1","4","79","Department of Defense"
"15","Mobile - Dialogue Communications Pty Ltd",NULL,"1","26","623","Dialogue Communications Pty Ltd"
"15","Mobile - H3G Ltd.",NULL,"1","12","303","H3G Ltd."
"15","Mobile - H3G Ltd.",NULL,"1","6","111","H3G Ltd."
"15","Mobile - Localstar Holding Pty. Ltd",NULL,"1","88","2191","Localstar Holding Pty. Ltd"
"15","Mobile - Lycamobile Pty Ltd",NULL,"1","19","415","Lycamobile Pty Ltd"
"15","Mobile - Railcorp/Vodafone",NULL,"1","8","143","Railcorp/Vodafone"
"15","Mobile - Railcorp/Vodafone",NULL,"1","99","2463","Railcorp/Vodafone"
"15","Mobile - Railcorp/Vodafone",NULL,"1","13","319","Railcorp/Vodafone"
"15","Mobile - Singtel Optus",NULL,"1","90","2319","Singtel Optus"
"15","Mobile - Singtel Optus",NULL,"1","2","47","Singtel Optus"
"15","Mobile - Telstra Corp. Ltd.",NULL,"1","71","1823","Telstra Corp. Ltd."
"15","Mobile - Telstra Corp. Ltd.",NULL,"1","1","31","Telstra Corp. Ltd."
"15","Mobile - Telstra Corp. Ltd.",NULL,"1","11","287","Telstra Corp. Ltd."
"15","Mobile - Telstra Corp. Ltd.",NULL,"1","72","1839","Telstra Corp. Ltd."
"15","Mobile - The Ozitel Network Pty.",NULL,"1","5","95","The Ozitel Network Pty."
"15","Mobile - Victorian Rail Track Corp. (VicTrack)",NULL,"1","16","367","Victorian Rail Track Corp. (VicTrack)"
"15","Mobile - Vodafone",NULL,"1","7","127","Vodafone"
"15","Mobile - Vodafone",NULL,"1","3","63","Vodafone"
"16","Mobile - A1 MobilKom",NULL,"1","11","287","A1 MobilKom"
"16","Mobile - A1 MobilKom",NULL,"1","2","47","A1 MobilKom"
"16","Mobile - A1 MobilKom",NULL,"1","9","159","A1 MobilKom"
"16","Mobile - A1 MobilKom",NULL,"1","1","31","A1 MobilKom"
"16","Mobile - T-Mobile/Telering",NULL,"1","15","351","T-Mobile/Telering"
"16","Mobile - H3G",NULL,"1","10","271","H3G"
"16","Mobile - H3G",NULL,"1","14","335","H3G"
"16","Mobile - 3/Orange/One Connect",NULL,"1","6","111","3/Orange/One Connect"
"16","Mobile - 3/Orange/One Connect",NULL,"1","12","303","3/Orange/One Connect"
"16","Mobile - 3/Orange/One Connect",NULL,"1","5","95","3/Orange/One Connect"
"16","Mobile - Spusu/Mass Response",NULL,"1","17","383","Spusu/Mass Response"
"16","Mobile - T-Mobile/Telering",NULL,"1","7","127","T-Mobile/Telering"
"16","Mobile - T-Mobile/Telering",NULL,"1","4","79","T-Mobile/Telering"
"16","Mobile - T-Mobile/Telering",NULL,"1","3","63","T-Mobile/Telering"
"16","Mobile - Tele2",NULL,"1","19","415","Tele2"
"16","Mobile - A1 MobilKom",NULL,"1","8","143","A1 MobilKom"
"16","Mobile - UPC Austria",NULL,"1","13","319","UPC Austria"
"17","Mobile - Azercell Telekom B.M.",NULL,"1","1","31","Azercell Telekom B.M."
"17","Mobile - Azerfon.",NULL,"1","4","79","Azerfon."
