"name","code","e164","mcc","mcci"
"Aruba","297","297","363","867"
"Afghanistan","93","93","412","1042"
"Angola","244","244","631","1585"
"Anguilla","1264","1","365","869"
"Åland Islands","358","358",NULL,NULL
"Albania","355","355","276","630"
"Andorra","376","376","213","531"
"United Arab Emirates","971","971","424","1060"
"Argentina Republic","54","54","722","1826"
"Armenia","374","374","283","643"
"American Samoa","684","1","544","1348"
"Antarctica",NULL,"672",NULL,NULL
"French Southern and Antarctic Lands","262","262",NULL,NULL
"Antigua and Barbuda","1268","1","344","836"
"Australia","61","61","505","1285"
"Austria","43","43","232","562"
"Azerbaijan","994","994","400","1024"
"Burundi","257","257","642","1602"
"Belgium","32","32","206","518"
"Benin","229","229","616","1558"
"Burkina Faso","226","226","613","1555"
"Bangladesh","880","880","470","1136"
"Bulgaria","359","359","284","644"
"Bahrain","973","973","426","1062"
"Bahamas","1242","1","364","868"
"Bosnia & Herzegov.","387","387","218","536"
"Saint Barthelemy","590","590",NULL,NULL
"Saint Helena","290","290",NULL,NULL
"Belarus","375","375","257","599"
"Belize","501","501","702","1794"
"Bermuda","1441","1","350","848"
"Bolivia","591","591","736","1846"
"Netherlands Antilles","599","599","362","866"
"Brazil","55","55","724","1828"
"Barbados","1246","1","342","834"
"Brunei Darussalam","673","673","528","1320"
"Bhutan","975","975","402","1026"
"Bouvet Island","55","55",NULL,NULL
"Botswana","267","267","652","1618"
"Central African Rep.","236","236","623","1571"
"Canada","1","1","302","770"
"Cocos Islands","61","61",NULL,NULL
"Switzerland","41","41","228","552"
"Chile","56","56","730","1840"
"China","86","86","460","1120"
"Ivory Coast","225","225","612","1554"
"Cameroon","237","237","624","1572"
"Congo Dem. Rep.","243","243","630","1584"
"Congo Republic","242","242","629","1577"
"Cook Islands","682","682","548","1352"
"Colombia","57","57","732","1842"
"Comoros","269","269","654","1620"
"Cape Verde","238","238","625","1573"
"Costa Rica","506","506","712","1810"
"Cuba","53","53","368","872"
"Curacao","599","599","362","866"
"Christmas Island","61","61",NULL,NULL
"Cayman Islands","1345","1","346","838"
"Cyprus","357","357","280","640"
"Czech Rep.","420","420","230","560"
"Germany","49","49","262","610"
"Djibouti","253","253","638","1592"
"Dominica","1767","1","366","870"
"Denmark","45","45","238","568"
"Dominican Republic","1809","1","370","880"
"Algeria","213","213","603","1539"
"Ecuador","593","593","740","1856"
"Egypt","20","20","602","1538"
"Eritrea","291","291","657","1623"
"Western Sahara","212","212",NULL,NULL
"Spain","34","34","214","532"
"Estonia","372","372","248","584"
"Ethiopia","251","251","636","1590"
"Finland","358","358","244","580"
"Fiji","679","679","542","1346"
"Falkland Islands (Malvinas)","500","500","750","1872"
"France","33","33","208","520"
"Faroe Islands","298","298","288","648"
"Micronesia","691","691","550","1360"
"Gabon","241","241","628","1576"
"United Kingdom","44","44","234","564"
"Georgia","995","995","282","642"
"Guernsey","44","44",NULL,NULL
"Ghana","233","233","620","1568"
"Gibraltar","350","350","266","614"
